Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2008,Fukuoka Softbank Hawks,P,mise--001koj,Koji Mise,44,NA,1,9,0,2,1,0.23
2008,Fukuoka Softbank Hawks,P,kume--001yuk,Yuki Kume,40,NA,2,7,2,0,0.818,0.23
2008,Fukuoka Softbank Hawks,P,nitkow001chr,C.J. Nitkowski,39,NA,3,6,1,1,0.9,0.23
2008,Fukuoka Softbank Hawks,P,yanase001aki,Akihiro Yanase,30,NA,2,6,0,1,1,0.27
2008,Fukuoka Softbank Hawks,P,ogura-001shi,Shinsuke Ogura,29,NA,0,6,1,0,0.857,0.21
2008,Fukuoka Softbank Hawks,P,houlto001den,D.J. Houlton,28,NA,3,7,0,0,1,0.36
2008,Fukuoka Softbank Hawks,P,sugiuc001tos,Toshiya Sugiuchi,25,NA,3,33,2,0,0.947,1.44
2008,Fukuoka Softbank Hawks,P,wada--001tsu,Tsuyoshi Wada,23,NA,2,26,1,0,0.966,1.22
2008,Fukuoka Softbank Hawks,P,ohtona001ken,Kenji Otonari,22,NA,6,24,0,2,1,1.36
2008,Fukuoka Softbank Hawks,P,satoh-001mak,Makoto Sato,22,NA,0,5,0,0,1,0.23
2008,Fukuoka Softbank Hawks,P,mahara001tak,Takahiro Mahara,21,NA,1,2,0,0,1,0.14
2008,Fukuoka Softbank Hawks,P,shinoh001tak,Takayuki Shinohara,21,NA,0,3,0,0,1,0.14
2008,Fukuoka Softbank Hawks,P,takaha001hid,Hideaki Takahashi,20,NA,1,5,1,0,0.857,0.3
2008,Fukuoka Softbank Hawks,P,takeok001kaz,Kazuhiro Takeoka,19,NA,0,6,1,2,0.857,0.32
2008,Fukuoka Softbank Hawks,P,guttor001ric,Rick Guttormson,18,NA,3,12,0,2,1,0.83
2008,Fukuoka Softbank Hawks,P,arakak001nag,Nagisa Arakaki,15,NA,5,11,2,0,0.889,1.07
2008,Fukuoka Softbank Hawks,P,mizuta001aki,Akio Mizuta,15,NA,1,2,0,0,1,0.2
2008,Fukuoka Softbank Hawks,P,oba---001sho,Shota Oba,13,NA,0,9,1,0,0.9,0.69
2008,Fukuoka Softbank Hawks,P,powell001jer,Jeremy Powell,12,NA,3,9,3,0,0.8,1
2008,Fukuoka Softbank Hawks,P,fujiok001yos,Yoshiaki Fujioka,11,NA,2,3,0,1,1,0.45
2008,Fukuoka Softbank Hawks,P,kattoh001kei,Keisuke Katto,9,NA,5,1,0,1,1,0.67
2008,Fukuoka Softbank Hawks,P,morifu001mas,Masahiko Morifuku,6,NA,0,0,0,0,NA,0
2008,Fukuoka Softbank Hawks,P,yang--001yao,Yao Hsun Yang,6,NA,0,2,0,0,1,0.33
2008,Fukuoka Softbank Hawks,P,hoshin001jun,Junji Hoshino,3,NA,0,0,0,0,NA,0
2008,Fukuoka Softbank Hawks,P,standr001jas,Jason Standridge,3,NA,2,1,0,0,1,1
2008,Fukuoka Softbank Hawks,P,nishiy001mic,Michitaka Nishiyama,2,NA,0,0,0,0,NA,0
2008,Fukuoka Softbank Hawks,P,iwasak001sho,Sho Iwasaki,1,NA,0,1,0,0,1,1
2008,Fukuoka Softbank Hawks,P,yamada001aki,Akichika Yamada,1,NA,0,0,0,0,NA,0
